entrez_id	gene_symbol	dgidb_gene_concept_id	dgidb_gene_name	gene_symbol_consistent	drug_name	drug_concept_id	drug_claim_name	interaction_source	interaction_source_version	interaction_type_raw	interaction_direction	interaction_score	drug_specificity_score	gene_specificity_score	evidence_score	drug_is_approved	drug_is_immunotherapy	drug_is_antineoplastic	pmids	curation_type	indication	source_license	source_license_url	dgidb_release_tag	record_key
2	A2M	hgnc:7	A2M	true	TECHNETIUM TC 99M SUCCIMER	chembl:CHEMBL1200797	TECHNETIUM TC 99M SUCCIMER	ChEMBL	37	binder	unknown	13.23299737332068	3.373749940188526	3.922340898976413	1	true	false	false				Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)	https://chembl.gitbook.io/chembl-interface-documentation/about#data-licensing	2026-06b	d177a2bd21c42970ac47df273140cad1c39f0e7c
2	A2M	hgnc:7	A2M	true	COBALT	rxcui:1310300	COBALT	NCI	14-September-2017	""	unknown	2.405999522421942	0.3067045400171387	3.922340898976413	2	false	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	c0c7f9d848537eb03ef5ec6f0c4d229ac2728137
2	A2M	hgnc:7	A2M	true	ALPROSTADIL	rxcui:598	PROSTAGLANDIN E1	NCI	14-September-2017	""	unknown	1.260285464125779	0.16065475905659646	3.922340898976413	2	true	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	996272464d02ae980c6bafb30033dd3d92ad51d5
2	A2M	hgnc:7	A2M	true	THROMBIN ALFA	rxcui:1367075	THROMBIN	NCI	14-September-2017	""	unknown	1.260285464125779	0.16065475905659646	3.922340898976413	2	true	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	d45cb1d123c42af621cea667561bd74263c3dd99
9	NAT1	hgnc:7645	NAT1	true	ASPIRIN	rxcui:1191	ACETYLSALICYLIC ACID	NCI	14-September-2017	""	unknown	0.3007499403027427	0.03833806750214234	3.922340898976413	2	true	false	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	a5cc9cab366a0cd60d52a996156cbced41dce468
9	NAT1	hgnc:7645	NAT1	true	ASPIRIN	rxcui:1191	ASPIRIN	NCI	14-September-2017	""	unknown	0.3007499403027427	0.03833806750214234	3.922340898976413	2	true	false	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	73b89190680406e29baa799dffc7693daae505b0
10	NAT2	hgnc:7646	NAT2	true	AMIFAMPRIDINE PHOSPHATE	rxcui:2106337	Amifampridine Phosphate	FDA	08-June-2026	""	unknown	3.780856392377337	3.373749940188526	0.5603344141394876	2	true	false	false				Public domain (U.S. Food and Drug Administration)	https://www.fda.gov/about-fda/about-website/website-policies#linking	2026-06b	a5a82a01f324a61ede25f84d1a0d33220ffa5026
10	NAT2	hgnc:7646	NAT2	true	BUTYLATED HYDROXYTOLUENE	rxcui:1848	BUTYLATED HYDROXYTOLUENE	NCI	14-September-2017	""	unknown	1.260285464125779	1.1245833133961753	0.5603344141394876	2	true	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	3dc55d77dc3225a5694cd3d378a3c4555df52a55
10	NAT2	hgnc:7646	NAT2	true	GARLIC	ncit:C38706	GARLIC	NCI	14-September-2017	""	unknown	0.5671284588566006	0.33737499401885257	0.5603344141394876	3	false	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	f848ccb57890677c90236845c0114fef45144945
10	NAT2	hgnc:7646	NAT2	true	PEGINTERFERON ALFA-2A	rxcui:120608	INTERFERON ALPHA-2A	NCI	14-September-2017	""	unknown	0.1260285464125779	0.11245833133961752	0.5603344141394876	2	true	true	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	1e0cada7b1434f89a09f6eec148e4e0920ee8cd8
10	NAT2	hgnc:7646	NAT2	true	AMIFAMPRIDINE	rxcui:2106338	Amifampridine	FDA	08-June-2026	""	unknown	0.09002039029469852	0.08032737952829823	0.5603344141394876	2	true	false	false				Public domain (U.S. Food and Drug Administration)	https://www.fda.gov/about-fda/about-website/website-policies#linking	2026-06b	3b6f1484a324588912129d97b2b4393c40643310
10	NAT2	hgnc:7646	NAT2	true	ASPIRIN	rxcui:1191	ASPIRIN	NCI	14-September-2017	""	unknown	0.08592855437221222	0.03833806750214234	0.5603344141394876	4	true	false	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	ca642f1756c58eb80b6659ce741ec60a41f0bf47
10	NAT2	hgnc:7646	NAT2	true	PACLITAXEL PROTEIN-BOUND	rxcui:486610	PACLITAXEL	NCI	14-September-2017	""	unknown	0.06463002380132202	0.028835469574260905	0.5603344141394876	4	true	false	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	aebaa9d4d943d930bc2e7c88bfd9ca8fc817396a
10	NAT2	hgnc:7646	NAT2	true	DEHYDRATED ALCOHOL	rxcui:1310469	ETHANOL	NCI	14-September-2017	""	unknown	0.04847251785099151	0.04325320436139136	0.5603344141394876	2	true	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	534ac453b3f5e30bebe4e35dada94cb5dbb18a39
10	NAT2	hgnc:7646	NAT2	true	CYCLOPHOSPHAMIDE ANHYDROUS	rxcui:1545988	CYCLOPHOSPHAMIDE	NCI	14-September-2017	""	unknown	0.04448066343973338	0.03969117576692383	0.5603344141394876	2	true	false	true				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	c2c78d6d6f07a56306c4a21485f4274ffdae194a
15	AANAT	hgnc:19	AANAT	true	THERAPEUTIC MELATONIN	ncit:C632	MELATONIN	NCI	14-September-2017	""	unknown	2.016456742601246	0.16065475905659646	3.1378727191811304	4	false	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	f6daf998ae98a9f6d2883f6a0dc54f4b691e2e13
15	AANAT	hgnc:19	AANAT	true	ISOPROTERENOL	rxcui:6054	ISOPROTERENOL	NCI	14-September-2017	""	unknown	0.8469118318925236	0.13494999760754103	3.1378727191811304	2	true	false	false				Public domain (U.S. National Cancer Institute)	https://www.cancer.gov/policies/copyright-reuse	2026-06b	ec4f07d2d140f52c5c2e04dab20d04c0827803b8
